"","chain_number","subj_id","participant_number","mwj","conscPos","conscNeg","dimension","numNeg","description"
"91",1,"5ec03a7169738f43d87ffc72",98,"pos",56,56,"blood",9,"Different color blood"
"92",1,"5ec03a7169738f43d87ffc72",98,"pos",58,58,"limbs",9,"Number of limbs"
"93",1,"5ec03a7169738f43d87ffc72",98,"pos",46,45,"DNA",17,"Resemble human DNA"
"94",1,"5ec03a7169738f43d87ffc72",98,"pos",56,57,"eyes",11,"Position of eyes"
"95",1,"5ec03a7169738f43d87ffc72",98,"neg",63,62,"mirror",15,"Cleaning habits"
"96",1,"5ec03a7169738f43d87ffc72",98,"pos",61,56,"discrimination",21,"Better association"
"97",1,"5f906f49f5fd170ffa4b393a",97,"neg",94,88,"trace",18,"Yubs are smarter"
"98",1,"5f906f49f5fd170ffa4b393a",97,"neg",100,100,"limbs",10,"one has more arms"
"99",1,"5f906f49f5fd170ffa4b393a",97,"neg",100,100,"blood",10,"different color blood"
"100",1,"5f906f49f5fd170ffa4b393a",97,"neg",100,98,"discrimination",22,"elms are smarter"
"101",1,"5f906f49f5fd170ffa4b393a",97,"neg",92,89,"DNA",18,"different building blocks"
"102",1,"5f906f49f5fd170ffa4b393a",97,"neg",95,96,"eyes",12,"different eye placement"
"103",1,"5f906f49f5fd170ffa4b393a",97,"neg",97,86,"deception",14,"Geks hide"
"104",1,"5f906f49f5fd170ffa4b393a",97,"neg",97,91,"mirror",16,"one cleans other ignores"
"105",1,"5fe381b8e9df3d81766b1b17",96,"pos",70,62,"trace",17,"Patience of either"
"106",1,"5fe381b8e9df3d81766b1b17",96,"neg",52,50,"DNA",19,"DNA similarity to humans"
"107",1,"5fe381b8e9df3d81766b1b17",96,"pos",58,35,"mirror",15,"Response to dirt on their face"
"108",1,"5fe381b8e9df3d81766b1b17",96,"neg",53,52,"limbs",11,"Number of arms"
"109",1,"5fe381b8e9df3d81766b1b17",96,"pos",68,32,"deception",13,"Whether they conceal theft"
"110",1,"5fe381b8e9df3d81766b1b17",96,"pos",79,50,"discrimination",21,"Detecting subtle differences"
"111",1,"5fe381b8e9df3d81766b1b17",96,"neg",51,52,"blood",11,"Colour of blood"
"112",1,"5fe381b8e9df3d81766b1b17",96,"neg",51,50,"eyes",13,"Location of eyes"
"113",1,"5feeec52d92c4a9ea0c52250",95,"pos",100,100,"discrimination",20,"Zags can tell the difference between similar objects and Geks can't."
"114",1,"5feeec52d92c4a9ea0c52250",95,"pos",100,100,"eyes",12,"Location of eyes"
"115",1,"5feeec52d92c4a9ea0c52250",95,"pos",100,100,"limbs",10,"Lower number of limbs"
"116",1,"5feeec52d92c4a9ea0c52250",95,"pos",100,100,"blood",10,"Colour of blood"
"117",1,"5feeec52d92c4a9ea0c52250",95,"pos",100,100,"mirror",14,"Shuks don't believe mirrors"
"118",1,"5feeec52d92c4a9ea0c52250",95,"pos",100,100,"deception",12,"Response to being caught"
"119",1,"5feeec52d92c4a9ea0c52250",95,"pos",100,100,"DNA",18,"Resemblance of human DNA"
"120",1,"5feeec52d92c4a9ea0c52250",95,"pos",100,100,"trace",16,"Dobs could wait for treat"
"121",1,"5e6bc0af292f7b1779374bfb",94,"pos",100,59,"discrimination",19,"Ability to separate similar objects"
"122",1,"5e6bc0af292f7b1779374bfb",94,"pos",100,76,"deception",11,"Ability to understand consequences"
"123",1,"5e6bc0af292f7b1779374bfb",94,"neg",48,50,"DNA",19,"The building blocks of their DNA"
"124",1,"5e6bc0af292f7b1779374bfb",94,"neg",50,51,"blood",11,"The colour of their blood"
"125",1,"5e6bc0af292f7b1779374bfb",94,"pos",97,59,"trace",15,"object permanence"
"126",1,"5e6bc0af292f7b1779374bfb",94,"neg",100,90,"mirror",15,"Physical self awareness"
"127",1,"5e6bc0af292f7b1779374bfb",94,"pos",49,51,"eyes",11,"Position of eyes"
"128",1,"5e6bc0af292f7b1779374bfb",94,"neg",49,50,"limbs",11,"number of limbs"
"129",1,"5eedec89a08bcd222d7c447c",93,"pos",100,0,"eyes",10,"different eye locations"
"130",1,"5eedec89a08bcd222d7c447c",93,"pos",100,0,"discrimination",18,"rubs better eyes"
"131",1,"5eedec89a08bcd222d7c447c",93,"pos",100,0,"blood",10,"different blood colour"
"132",1,"5eedec89a08bcd222d7c447c",93,"pos",100,0,"DNA",18,"different dna"
"133",1,"5eedec89a08bcd222d7c447c",93,"pos",100,0,"trace",14,"more intelligent"
"134",1,"5eedec89a08bcd222d7c447c",93,"pos",100,0,"limbs",10,"3 less limbs"
"135",1,"5eedec89a08bcd222d7c447c",93,"pos",100,0,"deception",10,"more awareness"
"136",1,"5eedec89a08bcd222d7c447c",93,"pos",100,0,"mirror",14,"less hygenic"
"137",1,"5ca9bc7978958e0016c5008b",92,"neg",100,100,"limbs",11,"different number of limbs"
"138",1,"5ca9bc7978958e0016c5008b",92,"neg",100,100,"blood",11,"the colour is different"
"139",1,"5ca9bc7978958e0016c5008b",92,"neg",100,23,"mirror",15,"Chups remove dirt when seen in a mirror. Rubs don't."
"140",1,"5ca9bc7978958e0016c5008b",92,"pos",100,49,"deception",9,"Leems hide themselves after stealing food. Xons don't"
"141",1,"5ca9bc7978958e0016c5008b",92,"neg",79,26,"discrimination",19,"Toffs can tell the difference between similar objects, Geks can't"
"142",1,"5ca9bc7978958e0016c5008b",92,"pos",100,0,"trace",13,"Zags can't associate light with a treat after a short space of time."
"143",1,"5ca9bc7978958e0016c5008b",92,"pos",51,53,"DNA",17,"Elms have the same DNA building blocks as humans; Vems don't"
"144",1,"5ca9bc7978958e0016c5008b",92,"neg",100,100,"eyes",11,"Fiks have eyes on top of each other. Dobs have them side by side"
"145",1,"5e5bf32829348a3cb01ffaa1",91,"neg",100,100,"eyes",12,"Forward facing eyes instead of stacked eyes"
"146",1,"5e5bf32829348a3cb01ffaa1",91,"pos",100,100,"limbs",10,"Number of arms"
"147",1,"5e5bf32829348a3cb01ffaa1",91,"neg",100,100,"discrimination",20,"Differentiation between similar objects"
"148",1,"5e5bf32829348a3cb01ffaa1",91,"neg",100,100,"mirror",16,"Spatial awareness"
"149",1,"5e5bf32829348a3cb01ffaa1",91,"neg",100,100,"blood",12,"Iron as the central component in blood"
"150",1,"5e5bf32829348a3cb01ffaa1",91,"neg",98,100,"trace",14,"Delayed gratification"
"151",1,"5e5bf32829348a3cb01ffaa1",91,"neg",100,100,"deception",10,"Survival by evasive tactics"
"152",1,"5e5bf32829348a3cb01ffaa1",91,"neg",100,100,"DNA",18,"Different base pairs"
"153",1,"5f6715ea82fb7d302d0b6ae9",90,"neg",72,72,"trace",15,"How they associate a flash of light with getting a treat"
"154",1,"5f6715ea82fb7d302d0b6ae9",90,"neg",96,95,"eyes",13,"The placement of there eyes"
"155",1,"5f6715ea82fb7d302d0b6ae9",90,"neg",93,87,"deception",11,"Hiding if caught stealing food"
"156",1,"5f6715ea82fb7d302d0b6ae9",90,"neg",97,89,"discrimination",21,"Telling the diffrence between objects"
"157",1,"5f6715ea82fb7d302d0b6ae9",90,"neg",91,93,"blood",13,"Blood colour"
"158",1,"5f6715ea82fb7d302d0b6ae9",90,"neg",97,97,"DNA",19,"There DNA make up"
"159",1,"5f6715ea82fb7d302d0b6ae9",90,"pos",94,95,"limbs",9,"Number of limbs"
"160",1,"5f6715ea82fb7d302d0b6ae9",90,"pos",93,50,"mirror",15,"Self aware"
"161",1,"5dd1843cfd5b281f1e24d5c5",89,"pos",49,49,"trace",14,"Speed of association"
"162",1,"5dd1843cfd5b281f1e24d5c5",89,"neg",49,49,"limbs",10,"amount of limbs"
"163",1,"5dd1843cfd5b281f1e24d5c5",89,"pos",49,49,"DNA",18,"Human DNA similarity"
"164",1,"5dd1843cfd5b281f1e24d5c5",89,"pos",100,49,"mirror",14,"Recognizing reflection"
"165",1,"5dd1843cfd5b281f1e24d5c5",89,"pos",49,49,"blood",12,"Color of blood"
"166",1,"5dd1843cfd5b281f1e24d5c5",89,"pos",70,50,"deception",10,"Awareness of rules"
"167",1,"5dd1843cfd5b281f1e24d5c5",89,"pos",46,46,"discrimination",20,"differentiate similar objects"
"168",1,"5dd1843cfd5b281f1e24d5c5",89,"pos",48,48,"eyes",12,"position of eyes"
"169",1,"5cebd58ade266200191eaf7d",88,"neg",52,50,"blood",13,"blood colour"
"170",1,"5cebd58ade266200191eaf7d",88,"pos",64,48,"DNA",17,"Xon bit human"
"171",1,"5cebd58ade266200191eaf7d",88,"pos",63,30,"discrimination",19,"Yubs more stupid"
"172",1,"5cebd58ade266200191eaf7d",88,"pos",65,37,"trace",13,"Fiks are thicker"
"173",1,"5cebd58ade266200191eaf7d",88,"pos",71,40,"mirror",13,"Norps more stupid"
"174",1,"5cebd58ade266200191eaf7d",88,"pos",50,50,"limbs",9,"Limbs number"
"175",1,"5cebd58ade266200191eaf7d",88,"pos",60,45,"eyes",11,"Toffs are uglier"
"176",1,"5cebd58ade266200191eaf7d",88,"neg",69,73,"deception",11,"Rubs more devious"
"177",1,"60111a9f280d124d36aaae94",87,"neg",99,98,"trace",14,"flash of light with a treat"
"178",1,"60111a9f280d124d36aaae94",87,"neg",98,99,"limbs",10,"fiks have two arms-like limbs, where as vems have five"
"179",1,"60111a9f280d124d36aaae94",87,"pos",98,96,"deception",10,"chups and leems live in small group both do steal chups make to hide themselves while leems do not attempt to hide themselves"
"180",1,"60111a9f280d124d36aaae94",87,"neg",97,7,"mirror",14,"both tends to to have dirt on there forehead norps removes by rubbing there face while huls do ignore the mirror"
"181",1,"60111a9f280d124d36aaae94",87,"pos",4,0,"blood",12,"both identical xon is blood red, where as rub is yellow"
"182",1,"60111a9f280d124d36aaae94",87,"pos",94,97,"discrimination",18,"both see things and learn simple rules whereas geks can differentiate similar object while zags can unable to tell the difference."
"183",1,"60111a9f280d124d36aaae94",87,"pos",95,99,"eyes",10,"both got eyes which yubs got it right and left whereas shuks own is one above the other."
"184",1,"60111a9f280d124d36aaae94",87,"pos",100,97,"DNA",16,"pod got same building that made up human dna, where as dobs made of building blocks with no human resemblance"
"185",1,"60057cf25439a47ac02192af",86,"neg",86,72,"trace",15,"Elms are smarter"
"186",1,"60057cf25439a47ac02192af",86,"neg",64,64,"blood",13,"Blood colour"
"187",1,"60057cf25439a47ac02192af",86,"pos",65,65,"eyes",9,"Location of eyes"
"188",1,"60057cf25439a47ac02192af",86,"neg",85,71,"mirror",15,"Dobs more clean"
"189",1,"60057cf25439a47ac02192af",86,"pos",70,70,"DNA",15,"DNA"
"190",1,"60057cf25439a47ac02192af",86,"pos",64,64,"limbs",9,"Number of limbs"
"191",1,"60057cf25439a47ac02192af",86,"pos",84,67,"discrimination",17,"Ability to recognise differences"
"192",1,"60057cf25439a47ac02192af",86,"pos",84,70,"deception",9,"Zags smarter"
"193",1,"5ebaa1ff940078000b52ebf4",85,"neg",100,100,"limbs",10,"Chups have more arms than Zags"
"194",1,"5ebaa1ff940078000b52ebf4",85,"neg",100,100,"trace",16,"Fiks are unable to see the treat unless there is light"
"195",1,"5ebaa1ff940078000b52ebf4",85,"pos",100,100,"deception",8,"Huls are very shy especially when they steal food"
"196",1,"5ebaa1ff940078000b52ebf4",85,"pos",100,100,"discrimination",16,"Yubs can not tell the difference between similar shades of red"
"197",1,"5ebaa1ff940078000b52ebf4",85,"pos",100,100,"DNA",14,"Xon have similar dna blocks to humans, leems do not"
"198",1,"5ebaa1ff940078000b52ebf4",85,"pos",100,100,"mirror",14,"Pods are more hygienic thanGeks"
"199",1,"5ebaa1ff940078000b52ebf4",85,"pos",100,100,"eyes",8,"Elms eyes are side by side Dobs top and bottom"
"200",1,"5ebaa1ff940078000b52ebf4",85,"pos",100,100,"blood",12,"Rub and Toff blood is different colours"
"201",1,"5f824241edddfb3645a5006f",84,"pos",99,71,"mirror",13,"Well, chups tend to remove fleck of dirt from their head when viewed in the mirror, meanwhile, Geks ignore the mirror when seen."
"202",1,"5f824241edddfb3645a5006f",84,"neg",33,100,"deception",9,"Norps then to hide when caught stealing, meanwhile, Pods don't hide."
"203",1,"5f824241edddfb3645a5006f",84,"pos",6,72,"limbs",9,"Elms have two arms, while Rubs have five"
"204",1,"5f824241edddfb3645a5006f",84,"neg",90,73,"eyes",9,"They differ in eyes anatomy"
"205",1,"5f824241edddfb3645a5006f",84,"neg",55,21,"trace",17,"They differ in illumination perception"
"206",1,"5f824241edddfb3645a5006f",84,"pos",22,79,"blood",11,"Their blood color differ"
"207",1,"5f824241edddfb3645a5006f",84,"neg",75,73,"DNA",15,"Their DNA's differ"
"208",1,"5f824241edddfb3645a5006f",84,"neg",100,69,"discrimination",17,"They differ in abilities to differentiate things"
"209",1,"5c28cac3867f660001ae9c4a",83,"pos",80,80,"DNA",14,"difference in DNA"
"210",1,"5c28cac3867f660001ae9c4a",83,"pos",82,83,"blood",10,"different colour blood"
"211",1,"5c28cac3867f660001ae9c4a",83,"neg",83,83,"deception",10,"they hide themselves"
"212",1,"5c28cac3867f660001ae9c4a",83,"pos",83,84,"discrimination",16,"identify different objects"
"213",1,"5c28cac3867f660001ae9c4a",83,"pos",86,87,"limbs",8,"number of limbs"
"214",1,"5c28cac3867f660001ae9c4a",83,"pos",88,88,"trace",16,"delay before treat"
"215",1,"5c28cac3867f660001ae9c4a",83,"pos",82,83,"eyes",8,"eye location"
"216",1,"5c28cac3867f660001ae9c4a",83,"pos",88,86,"mirror",12,"are cleaner"
"217",1,"5dd28cf3fef7c229fd984072",81,"pos",75,33,"trace",15,"Huls have a longer term memory"
"218",1,"5dd28cf3fef7c229fd984072",81,"neg",70,70,"eyes",9,"Yubs look more like humans in terms of eyes. Shucks look weird"
"219",1,"5dd28cf3fef7c229fd984072",81,"neg",81,76,"limbs",9,"Toffs are better at multi tasking than chups"
"220",1,"5dd28cf3fef7c229fd984072",81,"pos",91,10,"mirror",11,"Pods have no idea what a reflection is so are more stupid than Leems"
"221",1,"5dd28cf3fef7c229fd984072",81,"neg",45,45,"blood",11,"the colour of their blood differs"
"222",1,"5dd28cf3fef7c229fd984072",81,"pos",86,25,"deception",9,"Geks have no sense of social rank or social norms"
"223",1,"5dd28cf3fef7c229fd984072",81,"pos",87,16,"discrimination",15,"there is a distinct difference in intelligence between them"
"224",1,"5dd28cf3fef7c229fd984072",81,"pos",83,20,"DNA",13,"their genetic make up"
"225",1,"5f53927e3a8bb66b0f07d471",81,"pos",96,29,"eyes",9,"elms have eyes one above the other while dobs have eyes situated side by side"
"226",1,"5f53927e3a8bb66b0f07d471",81,"pos",92,26,"limbs",9,"chups have five arm-like limbs while xons have two limbs"
"227",1,"5f53927e3a8bb66b0f07d471",81,"pos",84,73,"mirror",11,"pods ignore a fleck of dirt when spotted on their face while shuks remove it"
"228",1,"5f53927e3a8bb66b0f07d471",81,"neg",93,81,"DNA",13,"geks do not have any resemblance with human DNA while fiks have resemblance to human DNA"
"229",1,"5f53927e3a8bb66b0f07d471",81,"pos",91,60,"discrimination",15,"Norps don't have the ability differentiate between similar objects while zags can"
"230",1,"5f53927e3a8bb66b0f07d471",81,"pos",100,8,"blood",11,"rub blood is yellow while hul blood is red"
"231",1,"5f53927e3a8bb66b0f07d471",81,"pos",86,71,"deception",9,"vems hide themselves when caught while leems do not"
"232",1,"5f53927e3a8bb66b0f07d471",81,"neg",90,75,"trace",15,"toffs were able to make the association between light and the treat, but only when the treat was given immediately, while yubs were not"
"233",1,"573b7b1967421f000e19125e",80,"pos",77,65,"eyes",8,"Different eye positions"
"234",1,"573b7b1967421f000e19125e",80,"pos",73,66,"limbs",8,"The number of limbs"
"235",1,"573b7b1967421f000e19125e",80,"neg",13,67,"deception",10,"Some hide"
"236",1,"573b7b1967421f000e19125e",80,"pos",76,44,"DNA",12,"Some contain human dna"
"237",1,"573b7b1967421f000e19125e",80,"neg",59,64,"mirror",12,"Looking in the mirror"
"238",1,"573b7b1967421f000e19125e",80,"pos",66,50,"blood",10,"Different colour blood"
"239",1,"573b7b1967421f000e19125e",80,"pos",82,50,"discrimination",14,"To learn simple rules"
"240",1,"573b7b1967421f000e19125e",80,"pos",84,45,"trace",14,"The time a treat is givern"
"241",1,"5f589f7bce1c040113809f12",79,"pos",99,16,"blood",9,"gek blood is red while hul blood is yellow"
"242",1,"5f589f7bce1c040113809f12",79,"neg",91,22,"trace",15,"shuks were able to differentiate between light and treat but only when the treat was given immediately while pods weren't"
"243",1,"5f589f7bce1c040113809f12",79,"neg",92,34,"eyes",9,"fiks eyes are situated one above the other, while zags eyes are situated side by side"
"244",1,"5f589f7bce1c040113809f12",79,"pos",45,67,"DNA",11,"rubs have same building blocks that make up human DNA, while toffs don't"
"245",1,"5f589f7bce1c040113809f12",79,"pos",94,27,"discrimination",13,"elms can tell the difference between very similar shades of red while yubs can't tell the difference between very similar objects"
"246",1,"5f589f7bce1c040113809f12",79,"neg",70,35,"limbs",9,"norps have five limbs while xons have two arm-like limbs"
"247",1,"5f589f7bce1c040113809f12",79,"pos",95,8,"deception",9,"dobs do not hide themselves when caught stealing but vems do"
"248",1,"5f589f7bce1c040113809f12",79,"pos",88,17,"mirror",11,"leems remove a fleck of dirt on their face when sported while chups ignore them"
"249",1,"5c180a3ac59c17000167491e",78,"neg",75,77,"limbs",10,"Amount of arms"
"250",1,"5c180a3ac59c17000167491e",78,"neg",79,79,"blood",10,"Colour of blood"
"251",1,"5c180a3ac59c17000167491e",78,"neg",79,79,"DNA",12,"Difference in DNA"
"252",1,"5c180a3ac59c17000167491e",78,"pos",100,100,"deception",8,"Difference in behaviour"
"253",1,"5c180a3ac59c17000167491e",78,"neg",100,84,"discrimination",14,"Recognition of objects"
"254",1,"5c180a3ac59c17000167491e",78,"neg",95,85,"trace",16,"Difference in understanding"
"255",1,"5c180a3ac59c17000167491e",78,"pos",93,84,"mirror",10,"Difference in cleanliness"
"256",1,"5c180a3ac59c17000167491e",78,"neg",84,84,"eyes",10,"Difference in eyes"
"257",1,"57db17a40cb6700001dd79e8",77,"neg",47,78,"mirror",11,"Rubs are intelligent"
"258",1,"57db17a40cb6700001dd79e8",77,"pos",77,50,"trace",15,"Fiks more intelligent"
"259",1,"57db17a40cb6700001dd79e8",77,"pos",90,50,"discrimination",13,"Huls more conscious"
"260",1,"57db17a40cb6700001dd79e8",77,"pos",54,39,"DNA",11,"Leems are alike to human dna"
"261",1,"57db17a40cb6700001dd79e8",77,"neg",50,82,"deception",9,"Geks face their crimes"
"262",1,"57db17a40cb6700001dd79e8",77,"pos",61,55,"eyes",9,"Differently oriented eyes"
"263",1,"57db17a40cb6700001dd79e8",77,"pos",51,50,"limbs",9,"Norps have less arms"
"264",1,"57db17a40cb6700001dd79e8",77,"pos",57,52,"blood",9,"Different blood"
